state,action,reward,next_state,done,next_action
131,3,-1.0,111,0,0
111,0,-1.0,211,0,0
211,0,-1.0,311,0,0
311,0,-1.0,411,0,4
411,4,-1.0,419,0,1
419,0,-1.0,419,0,1
419,4,-10.0,419,0,1
419,1,-1.0,319,0,1
319,1,-1.0,219,0,2
219,4,-10.0,219,0,2
219,2,-1.0,239,0,2
239,2,-1.0,259,0,2
259,2,-1.0,279,0,0
279,0,-1.0,379,0,0
379,0,-1.0,479,0,5
479,5,20.0,475,1,0
147,2,-1.0,167,0,2
167,2,-1.0,187,0,1
187,1,-1.0,87,0,4
87,4,-1.0,99,0,3
99,3,-1.0,79,0,0
79,0,-1.0,179,0,0
179,0,-1.0,279,0,0
279,0,-1.0,379,0,2
379,0,-1.0,479,0,5
479,5,20.0,475,1,0
324,4,-10.0,324,0,1
324,1,-1.0,224,0,2
224,2,-1.0,244,0,1
244,3,-1.0,224,0,2
224,2,-1.0,244,0,1
244,1,-1.0,144,0,2
144,2,-1.0,164,0,2
164,2,-1.0,184,0,1
184,1,-1.0,84,0,4
84,4,-1.0,96,0,0
96,0,-1.0,196,0,3
196,3,-1.0,176,0,0
176,0,-1.0,276,0,3
276,3,-1.0,256,0,3
256,3,-1.0,236,0,1
236,1,-1.0,136,0,3
136,3,-1.0,116,0,1
116,1,-1.0,16,0,5
16,5,20.0,0,1,0
412,1,-1.0,312,0,0
312,1,-1.0,212,0,2
212,2,-1.0,232,0,2
232,2,-1.0,252,0,2
252,2,-1.0,272,0,0
272,0,-1.0,372,0,0
372,0,-1.0,472,0,4
472,4,-1.0,476,0,1
476,5,-1.0,472,0,4
472,4,-1.0,476,0,5
476,4,-10.0,476,0,1
476,1,-1.0,376,0,1
376,2,-1.0,396,0,5
396,3,-1.0,376,0,1
376,1,-1.0,276,0,3
276,3,-1.0,256,0,3
256,3,-1.0,236,0,1
236,1,-1.0,136,0,3
136,3,-1.0,116,0,1
116,1,-1.0,16,0,5
16,5,20.0,0,1,0
463,1,-1.0,363,0,1
363,1,-1.0,263,0,3
263,3,-1.0,243,0,3
243,3,-1.0,223,0,1
223,1,-1.0,123,0,3
123,3,-1.0,103,0,3
103,1,-1.0,3,0,4
3,4,-1.0,19,0,0
19,1,-1.0,19,0,0
19,0,-1.0,119,0,0
119,0,-1.0,219,0,2
219,3,-1.0,219,0,2
219,2,-1.0,239,0,2
239,2,-1.0,259,0,2
259,2,-1.0,279,0,0
279,0,-1.0,379,0,0
379,0,-1.0,479,0,5
479,5,20.0,475,1,0
463,1,-1.0,363,0,1
363,1,-1.0,263,0,3
263,3,-1.0,243,0,3
243,3,-1.0,223,0,1
223,1,-1.0,123,0,3
123,3,-1.0,103,0,1
103,1,-1.0,3,0,4
3,4,-1.0,19,0,0
19,0,-1.0,119,0,0
119,0,-1.0,219,0,2
219,2,-1.0,239,0,3
239,2,-1.0,259,0,5
259,2,-1.0,279,0,0
279,0,-1.0,379,0,0
379,0,-1.0,479,0,5
479,5,20.0,475,1,0
464,1,-1.0,364,0,1
364,1,-1.0,264,0,3
264,2,-1.0,284,0,1
284,1,-1.0,184,0,2
184,1,-1.0,84,0,1
84,4,-1.0,96,0,0
96,0,-1.0,196,0,3
196,3,-1.0,176,0,0
176,2,-1.0,196,0,1
196,3,-1.0,176,0,0
176,0,-1.0,276,0,3
276,3,-1.0,256,0,3
256,3,-1.0,236,0,1
236,1,-1.0,136,0,5
136,3,-1.0,116,0,1
116,1,-1.0,16,0,5
16,5,20.0,0,1,0
121,1,-1.0,21,0,3
21,3,-1.0,1,0,4
1,4,-1.0,17,0,0
17,0,-1.0,117,0,2
117,3,-1.0,117,0,2
117,2,-1.0,137,0,0
137,0,-1.0,237,0,2
237,2,-1.0,257,0,1
257,5,-10.0,257,0,1
257,1,-1.0,157,0,2
157,2,-1.0,177,0,2
177,2,-1.0,197,0,1
197,1,-1.0,97,0,5
97,5,20.0,85,1,0
272,0,-1.0,372,0,2
372,0,-1.0,472,0,4
472,4,-1.0,476,0,1
476,1,-1.0,376,0,1
376,1,-1.0,276,0,3
276,3,-1.0,256,0,3
256,3,-1.0,236,0,1
236,1,-1.0,136,0,3
136,3,-1.0,116,0,1
116,1,-1.0,16,0,5
16,4,-10.0,16,0,5
16,2,-1.0,36,0,3
36,3,-1.0,16,0,5
16,5,20.0,0,1,0
348,1,-1.0,248,0,3
248,3,-1.0,228,0,3
228,3,-1.0,208,0,2
208,0,-1.0,308,0,0
308,0,-1.0,408,0,4
408,4,-1.0,416,0,1
416,1,-1.0,316,0,1
316,1,-1.0,216,0,1
216,1,-1.0,116,0,1
116,1,-1.0,16,0,5
16,5,20.0,0,1,0
428,1,-1.0,328,0,1
328,1,-1.0,228,0,3
228,3,-1.0,208,0,1
208,0,-1.0,308,0,0
308,0,-1.0,408,0,4
408,4,-1.0,416,0,1
416,1,-1.0,316,0,1
316,4,-10.0,316,0,1
316,1,-1.0,216,0,1
216,1,-1.0,116,0,1
116,1,-1.0,16,0,0
16,5,20.0,0,1,0
428,1,-1.0,328,0,1
328,4,-10.0,328,0,1
328,1,-1.0,228,0,3
