state,action,reward,next_state,done,next_action
131,3,-1.0,111,0,0
111,0,-1.0,211,0,0
211,0,-1.0,311,0,0
311,0,-1.0,411,0,4
411,4,-1.0,419,0,1
419,1,-1.0,319,0,1
319,1,-1.0,219,0,2
219,2,-1.0,239,0,2
239,2,-1.0,259,0,2
259,2,-1.0,279,0,0
279,0,-1.0,379,0,0
379,0,-1.0,479,0,4
479,4,-10.0,479,0,5
479,5,20.0,475,1,0
428,1,-1.0,328,0,1
328,1,-1.0,228,0,3
228,3,-1.0,208,0,0
208,0,-1.0,308,0,4
308,4,-10.0,308,0,0
308,0,-1.0,408,0,4
408,4,-1.0,416,0,1
416,1,-1.0,316,0,1
316,1,-1.0,216,0,1
216,1,-1.0,116,0,1
116,1,-1.0,16,0,5
16,5,20.0,0,1,0
324,2,-1.0,344,0,1
344,1,-1.0,244,0,1
244,1,-1.0,144,0,1
144,1,-1.0,44,0,2
44,2,-1.0,64,0,2
64,2,-1.0,84,0,4
84,4,-1.0,96,0,3
96,3,-1.0,76,0,0
76,0,-1.0,176,0,3
176,3,-1.0,156,0,0
156,0,-1.0,256,0,3
256,3,-1.0,236,0,3
236,3,-1.0,216,0,1
216,1,-1.0,116,0,1
116,1,-1.0,16,0,5
16,5,20.0,0,1,0
111,0,-1.0,211,0,0
211,0,-1.0,311,0,0
311,0,-1.0,411,0,4
411,4,-1.0,419,0,2
419,2,-1.0,419,0,1
419,1,-1.0,319,0,1
319,1,-1.0,219,0,2
219,2,-1.0,239,0,4
239,4,-10.0,239,0,2
239,2,-1.0,259,0,2
259,2,-1.0,279,0,0
279,0,-1.0,379,0,0
379,0,-1.0,479,0,5
479,5,20.0,475,1,0
94,3,-1.0,74,0,0
74,0,-1.0,174,0,2
174,2,-1.0,194,0,0
194,0,-1.0,294,0,0
294,0,-1.0,394,0,3
394,3,-1.0,374,0,0
374,0,-1.0,474,0,4
474,4,-1.0,478,0,1
478,1,-1.0,378,0,1
378,1,-1.0,278,0,3
278,3,-1.0,258,0,3
258,3,-1.0,238,0,3
238,3,-1.0,218,0,0
218,0,-1.0,318,0,0
318,0,-1.0,418,0,5
418,5,20.0,410,1,0
471,1,-1.0,371,0,1
371,1,-1.0,271,0,3
271,3,-1.0,251,0,3
251,3,-1.0,231,0,3
231,3,-1.0,211,0,0
211,0,-1.0,311,0,0
311,0,-1.0,411,0,4
411,4,-1.0,419,0,1
419,1,-1.0,319,0,1
319,1,-1.0,219,0,2
219,2,-1.0,239,0,2
239,2,-1.0,259,0,2
259,2,-1.0,279,0,0
279,0,-1.0,379,0,0
379,0,-1.0,479,0,5
479,5,20.0,475,1,0
474,0,-1.0,474,0,4
474,4,-1.0,478,0,1
478,1,-1.0,378,0,1
378,1,-1.0,278,0,3
278,3,-1.0,258,0,3
258,3,-1.0,238,0,3
238,3,-1.0,218,0,0
218,0,-1.0,318,0,0
318,0,-1.0,418,0,5
418,5,20.0,410,1,0
221,1,-1.0,121,0,3
121,3,-1.0,101,0,1
101,1,-1.0,1,0,4
1,4,-1.0,17,0,0
17,0,-1.0,117,0,5
117,5,-10.0,117,0,2
117,2,-1.0,137,0,0
137,0,-1.0,237,0,5
237,5,-10.0,237,0,4
237,4,-10.0,237,0,2
237,2,-1.0,257,0,1
257,1,-1.0,157,0,1
157,1,-1.0,57,0,2
57,2,-1.0,77,0,5
77,5,-10.0,77,0,2
77,2,-1.0,97,0,5
97,5,20.0,85,1,0
127,0,-1.0,227,0,2
227,2,-1.0,247,0,2
247,2,-1.0,267,0,1
267,1,-1.0,167,0,1
167,1,-1.0,67,0,2
67,2,-1.0,87,0,4
87,4,-1.0,99,0,0
99,0,-1.0,199,0,0
199,0,-1.0,299,0,0
299,0,-1.0,399,0,3
399,3,-1.0,379,0,0
379,0,-1.0,479,0,5
479,5,20.0,475,1,0
474,4,-1.0,478,0,1
478,1,-1.0,378,0,1
378,1,-1.0,278,0,3
278,3,-1.0,258,0,3
258,3,-1.0,238,0,3
238,3,-1.0,218,0,0
218,0,-1.0,318,0,0
318,0,-1.0,418,0,5
418,5,20.0,410,1,0
206,2,-1.0,226,0,2
226,2,-1.0,246,0,3
246,3,-1.0,226,0,2
226,2,-1.0,246,0,1
246,1,-1.0,146,0,4
146,4,-10.0,146,0,1
146,1,-1.0,46,0,1
46,1,-1.0,46,0,2
46,2,-1.0,66,0,2
66,2,-1.0,86,0,4
86,4,-1.0,98,0,0
98,0,-1.0,198,0,3
198,3,-1.0,178,0,3
178,3,-1.0,158,0,0
158,0,-1.0,258,0,3
258,3,-1.0,238,0,3
238,3,-1.0,218,0,0
218,0,-1.0,318,0,0
318,0,-1.0,418,0,5
418,5,20.0,410,1,0
252,2,-1.0,272,0,0
272,0,-1.0,372,0,0
372,0,-1.0,472,0,4
472,4,-1.0,476,0,1
476,1,-1.0,376,0,1
376,1,-1.0,276,0,3
276,3,-1.0,256,0,3
256,3,-1.0,236,0,3
236,3,-1.0,216,0,1
216,1,-1.0,116,0,1
116,1,-1.0,16,0,5
16,5,20.0,0,1,0
68,3,-1.0,48,0,0
48,0,-1.0,148,0,0
