state,action,reward,next_state,done,next_action
131,5,-10.0,131,0,3
131,3,-1.0,111,0,3
111,3,-1.0,111,0,1
111,1,-1.0,11,0,1
11,1,-1.0,11,0,0
11,0,-1.0,111,0,0
111,0,-1.0,211,0,0
211,0,-1.0,311,0,1
311,1,-1.0,211,0,4
211,4,-10.0,211,0,3
211,3,-1.0,211,0,5
211,5,-10.0,211,0,3
211,3,-1.0,211,0,3
211,3,-1.0,211,0,5
211,5,-10.0,211,0,4
211,4,-10.0,211,0,3
211,3,-1.0,211,0,3
211,3,-1.0,211,0,3
211,3,-1.0,211,0,5
211,5,-10.0,211,0,1
211,1,-1.0,111,0,4
111,4,-10.0,111,0,4
111,4,-10.0,111,0,0
111,0,-1.0,211,0,2
211,2,-1.0,231,0,5
231,5,-10.0,231,0,3
231,3,-1.0,211,0,0
211,0,-1.0,311,0,4
311,4,-10.0,311,0,4
311,4,-10.0,311,0,5
311,5,-10.0,311,0,1
311,1,-1.0,211,0,0
211,0,-1.0,311,0,5
311,5,-10.0,311,0,0
311,0,-1.0,411,0,3
411,3,-1.0,411,0,0
411,0,-1.0,411,0,1
411,1,-1.0,311,0,2
311,2,-1.0,311,0,2
311,2,-1.0,311,0,2
311,2,-1.0,311,0,0
311,0,-1.0,411,0,0
411,0,-1.0,411,0,0
411,0,-1.0,411,0,0
411,0,-1.0,411,0,4
411,4,-1.0,419,0,3
419,3,-1.0,419,0,3
419,3,-1.0,419,0,1
419,1,-1.0,319,0,3
319,3,-1.0,319,0,4
319,4,-10.0,319,0,2
319,2,-1.0,319,0,2
319,2,-1.0,319,0,5
319,5,-10.0,319,0,4
319,4,-10.0,319,0,5
319,5,-10.0,319,0,2
319,2,-1.0,319,0,4
319,4,-10.0,319,0,5
319,5,-10.0,319,0,3
319,3,-1.0,319,0,5
319,5,-10.0,319,0,4
319,4,-10.0,319,0,4
319,4,-10.0,319,0,2
319,2,-1.0,319,0,5
319,5,-10.0,319,0,0
319,0,-1.0,419,0,3
419,3,-1.0,419,0,4
419,4,-10.0,419,0,5
419,5,-1.0,411,0,3
411,3,-1.0,411,0,2
411,2,-1.0,411,0,1
411,1,-1.0,311,0,2
311,2,-1.0,311,0,2
311,2,-1.0,311,0,4
311,4,-10.0,311,0,5
311,5,-10.0,311,0,0
311,0,-1.0,411,0,5
411,5,-10.0,411,0,3
411,3,-1.0,411,0,2
411,2,-1.0,411,0,4
411,4,-1.0,419,0,3
419,3,-1.0,419,0,1
419,1,-1.0,319,0,1
319,1,-1.0,219,0,4
219,4,-10.0,219,0,3
219,3,-1.0,219,0,3
219,3,-1.0,219,0,2
219,2,-1.0,239,0,4
239,4,-10.0,239,0,2
239,2,-1.0,259,0,1
259,1,-1.0,159,0,5
159,5,-10.0,159,0,1
159,1,-1.0,59,0,1
59,1,-1.0,59,0,4
59,4,-10.0,59,0,3
59,3,-1.0,59,0,0
59,0,-1.0,159,0,0
159,0,-1.0,259,0,2
259,2,-1.0,279,0,4
279,4,-10.0,279,0,2
279,2,-1.0,299,0,4
299,4,-10.0,299,0,1
299,1,-1.0,199,0,1
199,1,-1.0,99,0,4
99,4,-10.0,99,0,5
99,5,-1.0,87,0,0
87,0,-1.0,187,0,0
187,0,-1.0,287,0,4
287,4,-10.0,287,0,2
287,2,-1.0,287,0,3
287,3,-1.0,267,0,0
267,0,-1.0,367,0,5
367,5,-10.0,367,0,2
367,2,-1.0,387,0,5
387,5,-10.0,387,0,4
387,4,-10.0,387,0,4
387,4,-10.0,387,0,1
387,1,-1.0,287,0,4
287,4,-10.0,287,0,0
287,0,-1.0,387,0,3
387,3,-1.0,367,0,2
367,2,-1.0,387,0,5
387,5,-10.0,387,0,1
387,1,-1.0,287,0,5
287,5,-10.0,287,0,0
287,0,-1.0,387,0,3
387,3,-1.0,367,0,3
367,3,-1.0,367,0,5
367,5,-10.0,367,0,1
367,1,-1.0,267,0,5
267,5,-10.0,267,0,4
267,4,-10.0,267,0,5
267,5,-10.0,267,0,1
267,1,-1.0,167,0,4
167,4,-10.0,167,0,5
167,5,-10.0,167,0,0
167,0,-1.0,267,0,2
267,2,-1.0,287,0,3
287,3,-1.0,267,0,0
267,0,-1.0,367,0,3
367,3,-1.0,367,0,3
367,3,-1.0,367,0,4
367,4,-10.0,367,0,5
367,5,-10.0,367,0,2
367,2,-1.0,387,0,2
387,2,-1.0,387,0,2
387,2,-1.0,387,0,5
387,5,-10.0,387,0,1
387,1,-1.0,287,0,2
287,2,-1.0,287,0,0
287,0,-1.0,387,0,2
387,2,-1.0,387,0,5
387,5,-10.0,387,0,3
387,3,-1.0,367,0,2
367,2,-1.0,387,0,5
387,5,-10.0,387,0,3
387,3,-1.0,367,0,5
367,5,-10.0,367,0,0
367,0,-1.0,467,0,2
467,2,-1.0,487,0,5
487,5,-10.0,487,0,4
487,4,-10.0,487,0,2
487,2,-1.0,487,0,2
487,2,-1.0,487,0,2
487,2,-1.0,487,0,3
487,3,-1.0,467,0,1
467,1,-1.0,367,0,4
367,4,-10.0,367,0,0
367,0,-1.0,467,0,2
467,2,-1.0,487,0,1
487,1,-1.0,387,0,4
387,4,-10.0,387,0,4
387,4,-10.0,387,0,4
387,4,-10.0,387,0,5
387,5,-10.0,387,0,5
387,5,-10.0,387,0,1
387,1,-1.0,287,0,0
287,0,-1.0,387,0,0
387,0,-1.0,487,0,4
487,4,-10.0,487,0,5
487,5,-10.0,487,0,5
487,5,-10.0,487,0,4
487,4,-10.0,487,0,5
487,5,-10.0,487,0,5
487,5,-10.0,487,0,0
487,0,-1.0,487,0,0
487,0,-1.0,487,0,5
487,5,-10.0,487,0,0
487,0,-1.0,487,0,5
487,5,-10.0,487,0,4
487,4,-10.0,487,0,5
487,5,-10.0,487,0,2
487,2,-1.0,487,0,0
487,0,-1.0,487,0,3
487,3,-1.0,467,0,5
467,5,-10.0,467,0,2
467,2,-1.0,487,0,5
487,5,-10.0,487,0,2
487,2,-1.0,487,0,4
487,4,-10.0,487,1,0
332,1,-1.0,232,0,2
232,2,-1.0,252,0,1
252,1,-1.0,152,0,1
152,1,-1.0,52,0,5
52,5,-10.0,52,0,4
52,4,-10.0,52,0,0
52,0,-1.0,152,0,5
152,5,-10.0,152,0,5
152,5,-10.0,152,0,1
152,1,-1.0,52,0,2
52,2,-1.0,72,0,3
72,3,-1.0,52,0,3
52,3,-1.0,52,0,2
52,2,-1.0,72,0,0
72,0,-1.0,172,0,5
172,5,-10.0,172,0,4
172,4,-10.0,172,0,0
172,0,-1.0,272,0,4
272,4,-10.0,272,0,4
272,4,-10.0,272,0,1
272,1,-1.0,172,0,3
172,3,-1.0,152,0,3
152,3,-1.0,152,0,0
152,0,-1.0,252,0,5
252,5,-10.0,252,0,4
252,4,-10.0,252,0,1
252,1,-1.0,152,0,0
152,0,-1.0,252,0,0
252,0,-1.0,352,0,4
352,4,-10.0,352,0,0
352,0,-1.0,452,0,3
452,3,-1.0,432,0,5
432,5,-10.0,432,0,5
432,5,-10.0,432,0,1
432,1,-1.0,332,0,0
332,0,-1.0,432,0,2
432,2,-1.0,452,0,5
452,5,-10.0,452,0,3
452,3,-1.0,432,0,0
432,0,-1.0,432,0,3
432,3,-1.0,432,0,2
432,2,-1.0,452,0,1
452,1,-1.0,352,0,2
352,2,-1.0,352,0,5
352,5,-10.0,352,0,5
352,5,-10.0,352,0,0
352,0,-1.0,452,0,3
452,3,-1.0,432,0,4
432,4,-10.0,432,0,1
432,1,-1.0,332,0,1
332,1,-1.0,232,0,1
232,1,-1.0,132,0,1
132,1,-1.0,32,0,5
32,5,-10.0,32,0,1
32,1,-1.0,32,0,1
32,1,-1.0,32,0,0
32,0,-1.0,132,0,0
132,0,-1.0,232,0,4
232,4,-10.0,232,0,1
232,1,-1.0,132,0,4
132,4,-10.0,132,0,3
132,3,-1.0,112,0,5
112,5,-10.0,112,0,3
112,3,-1.0,112,0,4
112,4,-10.0,112,0,4
112,4,-10.0,112,0,0
112,0,-1.0,212,0,3
